#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
121.0,Guinea,14207,,81.0,,13422.0,,704.0,24.0,1066.0,6.0,116069.0,8709.0,13327057.0,Africa,938.0,164532.0,115.0
122.0,Malawi,13880,,336.0,,6127.0,,7417.0,4.0,715.0,17.0,112736.0,5811.0,19399780.0,Africa,1398.0,57737.0,172.0
123.0,Eswatini,13443,,403.0,,8512.0,,4528.0,67.0,11521.0,345.0,117308.0,100539.0,1166792.0,Africa,87.0,2895.0,10.0
124.0,Tajikistan,13308,,90.0,,13218.0,,0.0,,1378.0,9.0,,,9654865.0,Asia,725.0,107276.0,
125.0,Syria,13224,,850.0,,6696.0,,5678.0,,746.0,48.0,,,17732978.0,Asia,1341.0,20862.0,
126.0,Cabo Verde,13139,,120.0,,12319.0,,700.0,23.0,23491.0,215.0,109682.0,196100.0,559318.0,Africa,43.0,4661.0,5.0
127.0,Thailand,12653,59.0,71.0,1.0,9621.0,265.0,2961.0,1.0,181.0,1.0,1217873.0,17424.0,69897110.0,Asia,5524.0,984466.0,57.0
128.0,Belize,11615,,283.0,,10866.0,,466.0,1.0,28923.0,705.0,66177.0,164787.0,401590.0,North America,35.0,1419.0,6.0
129.0,Rwanda,11548,,148.0,,7580.0,,3820.0,,880.0,11.0,804337.0,61271.0,13127608.0,Africa,1137.0,88700.0,16.0
130.0,Haiti,10907,,240.0,,8956.0,,1711.0,,950.0,21.0,45894.0,3998.0,11479137.0,North America,1052.0,47830.0,250.0
131.0,Gabon,10019,,66.0,,9732.0,,221.0,10.0,4444.0,29.0,410692.0,182170.0,2254448.0,Africa,225.0,34158.0,5.0
132.0,Hong Kong,9721,,164.0,,8827.0,,730.0,39.0,1291.0,22.0,6168673.0,819148.0,7530593.0,Asia,775.0,45918.0,1.0
133.0,Réunion,9522,,45.0,,9053.0,,424.0,5.0,10594.0,50.0,84769.0,94309.0,898845.0,Africa,94.0,19974.0,11.0
134.0,Burkina Faso,9352,,105.0,,7448.0,,1799.0,,441.0,5.0,,,21215786.0,Africa,2269.0,202055.0,
135.0,Andorra,9194,,92.0,,8349.0,,753.0,15.0,118887.0,1190.0,180088.0,2328704.0,77334.0,Europe,8.0,841.0,0.0
136.0,Guadeloupe,8980,,154.0,,2242.0,,6584.0,3.0,22441.0,385.0,112838.0,281981.0,400162.0,North America,45.0,2598.0,4.0
137.0,Bahamas,8068,,175.0,,6700.0,,1193.0,14.0,20409.0,443.0,57017.0,144230.0,395319.0,North America,49.0,2259.0,7.0
138.0,Mali,7880,,317.0,,5647.0,,1916.0,,383.0,15.0,137223.0,6672.0,20568530.0,Africa,2610.0,64885.0,150.0
139.0,Suriname,7709,,146.0,,6910.0,,653.0,11.0,13076.0,248.0,32860.0,55739.0,589535.0,South America,76.0,4038.0,18.0
140.0,Congo,7709,,114.0,,5846.0,,1749.0,,1379.0,20.0,73120.0,13075.0,5592292.0,Africa,725.0,49055.0,76.0
141.0,Trinidad and Tobago,7415,,132.0,,6945.0,,338.0,2.0,5289.0,94.0,79485.0,56694.0,1402000.0,North America,189.0,10621.0,18.0
142.0,Lesotho,7018,,101.0,,1652.0,,5265.0,,3262.0,47.0,44360.0,20617.0,2151635.0,Africa,307.0,21303.0,49.0
143.0,Guyana,6950,,170.0,,6206.0,,574.0,6.0,8812.0,216.0,44665.0,56634.0,788654.0,South America,113.0,4639.0,18.0
144.0,Mayotte,6918,,58.0,,2964.0,,3896.0,2.0,25028.0,210.0,50331.0,182087.0,276412.0,Africa,40.0,4766.0,5.0
145.0,Aruba,6523,,52.0,,5959.0,,512.0,11.0,60953.0,486.0,77550.0,724651.0,107017.0,North America,16.0,2058.0,1.0
146.0,Martinique,6263,,44.0,,98.0,,6121.0,2.0,16697.0,117.0,79166.0,211051.0,375103.0,North America,60.0,8525.0,5.0
147.0,Nicaragua,6204,,168.0,,4225.0,,1811.0,,930.0,25.0,,,6668000.0,North America,1075.0,39690.0,
148.0,Iceland,5970,,29.0,,5814.0,,127.0,,17432.0,85.0,463648.0,1353843.0,342468.0,Europe,57.0,11809.0,1.0
149.0,Djibouti,5910,,61.0,,5825.0,,24.0,,5934.0,61.0,104949.0,105380.0,995906.0,Africa,169.0,16326.0,9.0
150.0,Equatorial Guinea,5365,,86.0,,5191.0,,88.0,,3757.0,60.0,82103.0,57494.0,1428015.0,Africa,266.0,16605.0,17.0
151.0,CAR,4973,,63.0,,4885.0,,25.0,2.0,1020.0,13.0,35523.0,7285.0,4875882.0,Africa,980.0,77395.0,137.0
152.0,Somalia,4744,,130.0,,3666.0,,948.0,,294.0,8.0,,,16134893.0,Africa,3401.0,124115.0,
153.0,Curaçao,4527,,20.0,,4376.0,,131.0,7.0,27526.0,122.0,41599.0,252935.0,164465.0,North America,36.0,8223.0,4.0
154.0,Togo,4383,,74.0,,3839.0,,470.0,,523.0,9.0,195594.0,23327.0,8384820.0,Africa,1913.0,113308.0,43.0
155.0,Niger,4225,,146.0,,3265.0,,814.0,3.0,171.0,6.0,69827.0,2829.0,24681282.0,Africa,5842.0,169050.0,353.0
156.0,Gambia,3938,,128.0,,3697.0,,113.0,1.0,1605.0,52.0,32615.0,13292.0,2453667.0,Africa,623.0,19169.0,75.0
157.0,Gibraltar,3793,,47.0,,2914.0,,832.0,117.0,112602.0,1395.0,144504.0,4289862.0,33685.0,Europe,9.0,717.0,0.0
158.0,South Sudan,3762,,64.0,,3505.0,,193.0,2.0,334.0,6.0,82727.0,7343.0,11266076.0,Africa,2995.0,176032.0,136.0
159.0,Benin,3413,,46.0,,3245.0,,122.0,,278.0,4.0,402795.0,32757.0,12296485.0,Africa,3603.0,267315.0,31.0
160.0,Channel Islands,3386,,78.0,,3107.0,,201.0,10.0,19376.0,446.0,298182.0,1706354.0,174748.0,Europe,52.0,2240.0,1.0
161.0,Sierra Leone,3030,,77.0,,2109.0,,844.0,,376.0,10.0,,,8065882.0,Africa,2662.0,104752.0,
162.0,Chad,2977,,114.0,,2170.0,,693.0,,178.0,7.0,,,16682608.0,Africa,5604.0,146339.0,
163.0,San Marino,2803,,65.0,,2530.0,,208.0,10.0,82512.0,1913.0,30842.0,907892.0,33971.0,Europe,12.0,523.0,1.0
164.0,Guinea-Bissau,2510,,45.0,,2405.0,,60.0,5.0,1259.0,23.0,39578.0,19854.0,1993431.0,Africa,794.0,44298.0,50.0
165.0,Liechtenstein,2398,,50.0,,2292.0,,56.0,7.0,62793.0,1309.0,22906.0,599806.0,38189.0,Europe,16.0,764.0,2.0
